ESPECIFICACOES TECNICAS,,,,,,,,,,,,,,METROLOGIA,,,,,,,,,,,"prontidao
Status",,PATRIMONIO / INVENTARIO,,,,,,,PROCESSO LICITATORIO,,,,,,,OBTENCAO / FINANCEIRO,,,,,,,,"Gerenciamento e transporte do equipamento
OFICINA > ET > TRANSPORTADORA > LABORATORIO",,,,,,,,,,,,,,,,,
"equipamento_classe
ELE – eletrico
MEC – mecanico",equipamento_tipo,equipamento_fabricante,equipamento_modelo,equipamento_serial,equipamento_codigo_interno,equipamento_altura,equipamento_largura,equipamento_equipamento_comprimento,equipamento_tensao,equipamento_potencia,equipamento_necessidade,equipamento_,,faixa de medicao,unidade da medicao,TOLERANCIA,"ERRO MAX TOLERAVEL
ESPEC. PELO USUARIO/PROCEDIMENTO",ERRO MENSURADO CERT. CAL. VIGENTE,VARIANCIA,ANALISE Ia,obsvacao,,,,"prontidao
Status",prioridade,CICLO CALIBRAÇÃO (MESES),"
 DIVISÃO",INCUMBENCIA,CADBEM,INCUMBENCIA_RESPONSAVEL,"PS - Pedido de servico 
",,RESP_PROCESSO,PROCESSO_NUP,CONTRATO / ATA N,VALOR_MAX_TR,DATA_HOMOLOGACAO,DATA_ASS_ATA,VALOR_SERVICO_ATA,SOLEMP,SOLEMP_DATA,NOTA DE EMPENHO,DATA_EMPENHO_RECEBIDO_EXEC,NF,DATA_NF,DATA_CERTIFICACAO_NF,"executor
Laboratorio",,Data de ENTRADA na Oficina  Eletronica,saida para Cali.  Da Oficina  Eletronica,LOTE / REMESSA,RETORNO CAL,ENTREGUE  A OFICINA,,ULTIMA CALIBRAÇÃO,PRÓXIMA CALIBRAÇÃO,VALIDADE CALIBRAÇÃO,CERTIFICADO  ,localizacao,COMENTÁRIOS,,"CUSTO ESTIMADO
BASE HIST + AI",ORÇAMENTO,PAGAMENTO,LOCAL CALIBRAÇÃO
ELE ,DIFFERENTIAL PROBE ,TESTEC,TT-SI 9001,,,,,,,,,,,"±1000 V AC 
1400 V AC/DC 
100 MHz","prontidao
Status",,,,,,,,,,"Sobressalente
operacional
Restricoes
Inoperante
Inativo
condenado

","critico
Importante
Normal
Não calibrar",24,F-21,,,,,,,,,,,,,,,,,,,,,,05/03/24,05/03/24,,14/03/24,,,45363,#VALOR!,DESCALIBRADO,certificado nº 2142016/2024,CMASM,,,"373,83",,,CMS
MEC,CONTROLADOR DE PRESSÃO,MENSOR,CPC 6000,,,,,,,,,,,,,,,,,,,,,,,,12,MK-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VALOR!,DESCALIBRADO,,CMASM,,,193,,,EMPRESA MV
MEC,CONTROLADOR DE PRESSÃO,MENSOR,CPC 6000,,,,,,,,,,,,,,,,,,,,,,,,12,MK-46,,,,,,,,,,,,,,,,,,,,,,04/09/24,,,08/07/25,,,45839,#VALOR!,DESCALIBRADO,C188306/25 ,CMASM,,,193,,,EMPRESA MV
MEC,CONTROLADOR DE PRESSÃO,MENSOR,CPC 3000,,,,,,,,,,,,,,,,,,,,,,,,12,MK-46,,,,,,,,,,,,,,,,,,,,,,04/09/24,,,,,,,#VALOR!,DESCALIBRADO,,CMASM,,,193,,,EMPRESA MV
MEC,CONTROLADOR DE PRESSÃO,MENSOR,CPC 3000,,,,,,,,,,,,,,,,,,,,,,,,12,MK-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VALOR!,DESCALIBRADO,,CMASM,,,193,,,EMPRESA MV
ELE ,FONTE DC,AMETEK ,XG 300-2.8,,,,,,,,,,,"0-300V , 0-2.8A ,850W",,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,23/08/24,05/09/24,,31/01/25,,,45638,#VALOR!,DESCALIBRADO,certificado nº 2142107/2024 ,CMASM,,,"1164,35",,,EMPRESA MQT
MEC,"MANÔMETRO DIGITAL
 IN LOCO",AOIP,"PRESSURE SENSOR (ART_0000019066) – P2
AIOP-IT (0-6 bar)",,,,,,,,,,,6,Bar,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,---,----,,----,,,45106,#VALOR!,DESCALIBRADO,certificado P-005895,CMASM,Calibração deve ser realizada in loco. ,,"1058,44333333333",,,BACS
MEC,"MANÔMETRO DIGITAL
 IN LOCO",AOIP,"PRESSURE SENSOR (ART_0000019066) – P1
AIOP-IT (0-6 bar)",,,,,,,,,,,6,Bar,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,---,----,,----,,,45106,#VALOR!,DESCALIBRADO,certificado P-005894,CMASM,Calibração deve ser realizada in loco. ,,"1058,44333333333",,,BACS
ELE ,OHMÍMETRO,AGI,1681A,,,,,,,,,,,,,,,,,,,,,,,,12,EXOCET,,,,,,,,,,,,,,,,,,,,,,24/10/24,31/10/24,,25/11/24,,,45608,#VALOR!,DESCALIBRADO,falta certificADO,CMASM,MSMI LOTE 02,,"776,23",,,EMPRESA MV
ELE ,OHMÍMETRO,SEFELEC,MR46,,,,,,,,,,,,,,,,,,,,,,,,12,EXOCET,,,,,,,,,,,,,,,,,,,,,,24/10/24,31/10/24,,25/11/24,,,45608,#VALOR!,DESCALIBRADO,falta certificADO,CMASM,MSMI LOTE 02,,270,,,EMPRESA MV
MEC,TORQUÍMETRO ,CMKP,1 - 4 dNm ,,,,,,,,,,,"0,4",Nm,,,,,,,,,,,,12,EXOCET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VALOR!,DESCALIBRADO,0835/2022,CMASM,MSMSI TORQ LOTE 05 DEZ,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,FACOM,Facom - A-301 MT 15-75c nM,,,,,,,,,,,75,Nm,,,,,,,,,,,,12,EXOCET,,,,,,,,,,,,,,,,,,,,,,16/09/24,18/09/24,,16/10/24,,,45551,#VALOR!,DESCALIBRADO,1643/23,MV,MSMI TORQ LOTE 02,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,FACOM,Facom - A404 2-10 Nm,,,,,,,,,,,10,Nm,,,,,,,,,,,,12,EXOCET,,,,,,,,,,,,,,,,,,,,,,"16/09/2024
",18/09/24,,16/10/24,,,45551,#VALOR!,DESCALIBRADO,1642/23,MV,MSMI TORQ LOTE 02,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,FACOM,"Facom - A402 0,5-2,5Nm",,,,,,,,,,,"2,5",Nm,,,,,,,,,,,,12,EXOCET,,,,,,,,,,,,,,,,,,,,,,24/10/24,16/09/24,,18/09/24,,,45581,#VALOR!,DESCALIBRADO,1635/23,MV,MSMI TORQ LOTE 02,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,FACOM,Facom - 20-100 Nm,,,,,,,,,,,100,Nm,,,,,,,,,,,,12,EXOCET,,,,,,,,,,,,,,,,,,,,,,16/09/24,18/09/24,,16/10/24,,,45551,#VALOR!,DESCALIBRADO,1632/23,MV,MSMI TORQ LOTE 02,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,FACOM,Facom - 20-100 Nm,,,,,,,,,,,100,Nm,,,,,,,,,,,,12,EXOCET,,,,,,,,,,,,,,,,,,,,,,16/09/24,18/09/24,,16/10/24,,,45551,#VALOR!,DESCALIBRADO,1634/23,MV,MSMI TORQ LOTE 02,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,FACOM,Facom - 5-25 Nm,,,,,,,,,,,25,Nm,,,,,,,,,,,,12,EXOCET,,,,,,,,,,,,,,,,,,,,,,16/09/24,18/09/24,,16/10/24,,,45551,#VALOR!,DESCALIBRADO,1631/23,MV,MSMI TORQ LOTE 02,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,FACOM,Facom - 1-5 Nm,,,,,,,,,,,5,Nm,,,,,,,,,,,,12,EXOCET,,,,,,,,,,,,,,,,,,,,,,16/09/24,18/09/24,,16/10/24,,,45551,#VALOR!,DESCALIBRADO,1639/23,MV,MSMI TORQ LOTE 02,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,FACOM,Facom - 2-10 Nm,,,,,,,,,,,10,Nm,,,,,,,,,,,,12,EXOCET,,,,,,,,,,,,,,,,,,,,,,24/10/24,16/09/24,,18/09/24,,,45581,#VALOR!,DESCALIBRADO,1630/23,MV,MSMI TORQ LOTE 02,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,FACOM,Facom - 4-2 daNm,,,,,,,,,,,200,Nm,,,,,,,,,,,,12,EXOCET,,,,,,,,,,,,,,,,,,,,,,16/09/24,18/09/24,,16/10/24,,,45551,#VALOR!,DESCALIBRADO,1640/23,MV,MSMI TORQ LOTE 02,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,FACOM,Facom – 1-10 Nm,,,,,,,,,,,10,Nm,,,,,,,,,,,,12,EXOCET,,,,,,,,,,,,,,,,,,,,,,24/10/24,28/10/24,,,,,45243,#VALOR!,DESCALIBRADO,1633/23,MV,MSMI TORQ LOTE 02,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,FALCOM,40 – 200 Nm S315 DA,,,,,,,,,,,265,Nm,,,,,,,,,,,,12,EXOCET,,,,,,,,,,,,,,,,,,,,,,15/07/24,20/08/24,,12/08/24,,,45506,#VALOR!,DESCALIBRADO,222199/24,CMASM,MSMI TORQ LOTE 01,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,SAM,2 – 20 MdaN,,,,,,,,,,,200,Nm,,,,,,,,,,,,12,EXOCET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VALOR!,DESCALIBRADO,,CMASM,MSMSI TORQ LOTE 05 DEZ,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,SAM,Sam – 20-200 Nm,,,,,,,,,,,200,Nm,,,,,,,,,,,,12,EXOCET,,,,,,,,,,,,,,,,,,,,,,16/09/24,18/09/24,,16/10/24,,,45551,#VALOR!,DESCALIBRADO,1629/23,MV,MSMI TORQ LOTE 02,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,SAM,Sam - type II classe A - 5-25 Nm,,,,,,,,,,,25,Nm,,,,,,,,,,,,12,EXOCET,,,,,,,,,,,,,,,,,,,,,,16/09/24,18/09/24,,16/10/24,,,45567,#VALOR!,DESCALIBRADO,1628/23,MV,MSMI TORQ LOTE 02,,100,,,EMPRESA MV
,TORQUÍMETRO ,SAM,,,,,,,,,,,,,,,,,,,,,,,,,12,EXOCET,,,,,,,,,,,,,,,,,,,,,,16/09/24,18/09/24,,16/10/24,,,45551,#VALOR!,DESCALIBRADO,,,"MSMI TORQ LOTE 01
EQUIPAMENTO ADD NA TABELA",,,,,EMPRESA MV
ELE ,ANALISADOR DE SEGURANÇA,GW INSTEK,GPT-9802,,,,,,,,,,,"0.1...5kV AC, 0.1...6kV DC",,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,23/08/24,16/09/24,,30/10/24,,,45587,#VALOR!,DESCALIBRADO,,CMASM,MSMI LOTE 01,,"3104,95",,,EMPRESA MV
MEC,CONTROLADOR DE PRESSÃO,MENSOR,CPC3000,,,,,,,,,,,,,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,23/08/24,25/11/24,,,,,45104,#VALOR!,DESCALIBRADO,certificado nº P-0603/2023,CMASM,,,130,,,EMPRESA MV
ELE ,FONTE DC,AMETEK ,SGA-600625D-1D-AA,,,,,,,,,,,,,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,44222,#VALOR!,DESCALIBRADO,,CMASM,VRF PSB CALIBRAÇÃO POR EMPRESA COMUM,,"560,75",,,"EMPRESA 
AUTORIZADA AMETEK"
ELE ,MEGÔHMETRO,FLUKE,1507,,,,,,,,,,,"0,01 MΩ -10 GΩ",Ω,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,23/08/24,18/09/24,,16/10/24,,,45568,#VALOR!,DESCALIBRADO,MQT31184/24,CMASM,"MQT LOTE 01
CMS NÃO CALIBRA",,"373,83",,,EMPRESA MQT
ELE ,MEGÔHMETRO,SEFELEC,MXS500,,,,,,,,,,,50KΩ - 200GΩ,Ω,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,09/05/23,10/05/23,,18/05/23,,,45105,#VALOR!,DESCALIBRADO,certificado nº E-0422/2023,CMASM,,,150,,,EMPRESA MQT
ELE ,"MULTÍMETRO
PROPRIETÁRIO NI",NATIONAL INSTRUMENTS ,PXIE-4080,,,,,,,,,,,,,,,,,,,,,,,,24,F-21,,,,,,,,,,,,,,,,,,,,,,05/12/24,,,,,,44046,#VALOR!,DESCALIBRADO,,CMASM,,,"560,75",,,EMPRESA MV
ELE ,OHMÍMETRO,AOIP,IND43,,,,,,,,,,,,,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,09/05/23,10/05/23,,18/05/23,,,45105,#VALOR!,DESCALIBRADO,certificado nº E-0424/2023,CMASM,MSMI LOTE 04,,150,,,EMPRESA MV
ELE ,OPTICAL POWER METER,NOYES,OPM1-2C,,,,,,,,,,,,,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,44440,#VALOR!,DESCALIBRADO,,CMASM,VRF ORÇAMENTO EMPRESAS,,"747,66",,,"EMPRESA
DESERTO EM 2024"
ELE ,"OSCILOSCÓPIO PXI 
PROPRIETÁRIO NI",NATIONAL INSTRUMENTS,NI-PXI-5122,,,,,,,,,,,,,,,,,,,,,,,,24,F-21,,,,,,,,,,,,,,,,,,,,,,05/12/24,,,,,,44831,#VALOR!,DESCALIBRADO,,CMASM,,,"776,23",,,EMPRESA MV
ELE ,REFLECTÔMETRO,EXFO,OPTICAL REFLECTOMETER EXFO FTB2 CONFIGURED WITH OTDR FTBX-735C-SM1-EA,,,,,,,,,,,,,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VALOR!,DESCALIBRADO,,CMASM,,,,,,"EMPRESA
DESERTO EM 2024"
ELE ,TERMOHIGROMETRO,OMEGA,HH314A,,,,,,,,,,,"0-50 °C
0 a 100% UR",,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,23/08/24,18/09/24,,16/10/24,,,45568,#VALOR!,DESCALIBRADO,CMASM-IDE-F21-03404/10/24,CMASM,LCM LOTE 01,,80,,,EMPRESA LMC
MEC,DINAMÔMETRO DIGITAL,YALE,TMC 1500,,,,,,,,,,,1500,KG,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,23/08/24,18/09/24,,16/10/24,,,45566,#VALOR!,DESCALIBRADO,MQT31199/24 ,CMASM,VRF MARCA MODELO/ MQT,,"338,69",,,EMPRESA MQT
MEC,MANÔMETRO ANALÓGICO,,PRESSURE REGULATOR,,,,,,,,,,,,,,,,,,,,,,,,24,F-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,44050,#VALOR!,DESCALIBRADO,,CMASM,somente em dez,,90,,,EMPRESA MQT
MEC,MANÔMETRO ANALÓGICO,,ANALOGIC MANOMETER 0 TO 400 BARS,,,,,,,,,,,400,Bar,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VALOR!,DESCALIBRADO,,CMASM,,,90,,,EMPRESA MQT
MEC,MANÔMETRO DIGITAL,,PRESSURE SWITCH SETTING TOOL (ART_0000016319) (WIKA CPH6300 (READER) + CPT6200 (SENSOR)),,,,,,,,,,,,,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,23/08/24,18/09/24,,16/10/24,,,45568,#VALOR!,DESCALIBRADO,CMASM-IDM-F21-00703/10/24,CMASM,LCM LOTE 01,,"338,69",,,EMPRESA LMC
MEC,MICROMETRO DE PROFUNDIDADE,FACOM,806.F,,,,,,,,,,,"0,01",mm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,23/08/24,18/10/24,,16/10/24,,,45565,#VALOR!,DESCALIBRADO,MQT31051/24,CMASM,MQT LOTE 01,,"84,33",,,EMPRESA MQT
MEC,MICROMETRO DE PROFUNDIDADE,FACOM,806.F,,,,,,,,,,,"0,01",mm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,23/08/24,18/10/24,,16/10/24,,,45566,#VALOR!,DESCALIBRADO,MQT31050/24,CMASM,MQT LOTE 01,,"84,33",,,EMPRESA MQT
MEC,MICROMETRO DE PROFUNDIDADE,FACOM,806.F,,,,,,,,,,,"0,01",mm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VALOR!,DESCALIBRADO,,CMASM,FERRAMENTA NAO UTILIZADA,,"84,33",,,EMPRESA MQT
MEC,MICROMETRO DE PROFUNDIDADE,FACOM,806.F,,,,,,,,,,,"0,01",mm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VALOR!,DESCALIBRADO,,CMASM,FERRAMENTA NAO UTILIZADA,,"84,33",,,EMPRESA MQT
MEC,PAQUÍMETRO ,,PAQUÍMETRO (805.1),,,,,,,,,,,,,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,23/08/24,16/09/24,,30/10/24,,,45587,#VALOR!,DESCALIBRADO,falta certificado ,CMASM,MSMI LOTE 01,,"84,33",,,EMPRESA MV
MEC,PAQUÍMETRO ,,PAQUÍMETRO (805.1),,,,,,,,,,,,,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,23/08/24,16/09/24,,30/10/24,,,45587,#VALOR!,DESCALIBRADO,falta certificado ,CMASM,MSMI LOTE 01,,"84,33",,,EMPRESA MV
MEC,PAQUÍMETRO ,,PAQUÍMETRO (805.1),,,,,,,,,,,,,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VALOR!,DESCALIBRADO,,CMASM,,,"84,33",,,EMPRESA MV
MEC,PAQUÍMETRO ,,PAQUÍMETRO (805.1),,,,,,,,,,,,,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,15/07/24,16/09/24,,30/10/24,,,45587,#VALOR!,DESCALIBRADO,falta certificado ,CMASM,MSMI LOTE 01,,"84,33",,,EMPRESA MV
MEC,TORQUÍMETRO ,,"TORQUÍMETRO TIPO RELÓGIO 3/8”  0-3,5 NM",,,,,,,,,,,"3,5",Nm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,155265,#VALOR!,DESCALIBRADO,C30650/25 ,CMASM,MSMSI TORQ LOTE 05 DEZ,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,"TORQUÍMETRO RELÓGIO 3/8” 0-3,5 NM",,,,,,,,,,,"3,5",Nm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,45693,#VALOR!,DESCALIBRADO,C30659/25,CMASM,MSMSI TORQ LOTE 05 DEZ,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,TORQUÍMETRO 3/8” 1-5 N.M,,,,,,,,,,,5,Nm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/02.2025,05/02/26,),C30691/25,CMASM,MSMSI TORQ LOTE 05 DEZ,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,TORQUÍMETRO 3/8” 1-6 NM ,,,,,,,,,,,6,Nm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,45693,#VALOR!,DESCALIBRADO,C30672/25,CMASM,MSMSI TORQ LOTE 05 DEZ,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,TORQUÍMETRO 3/8”   2-10 NM ,,,,,,,,,,,10,Nm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,45693,#VALOR!,DESCALIBRADO,C30712/25,CMASM,MSMSI TORQ LOTE 05 DEZ,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,TORQUÍMETRO 3/8” 5-50 NM,,,,,,,,,,,50,Nm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VALOR!,DESCALIBRADO,,CMASM,MSMSI TORQ LOTE 05 DEZ,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,TORQUÍMETRO  3/8” 5-50 N.M ,,,,,,,,,,,50,Nm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/02.2025,05/02/26,DESCALIBRADO,,CMASM,MSMSI TORQ LOTE 05 DEZ,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,Torquímetro  3/8” 5-50 N.m  ,,,,,,,,,,,50,Nm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VALOR!,DESCALIBRADO,,CMASM,MSMSI TORQ LOTE 05 DEZ,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,TORQUÍMETRO 3/8”  5-50 NM ,,,,,,,,,,,50,Nm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,45693,#VALOR!,DESCALIBRADO,C30667/25,CMASM,MSMSI TORQ LOTE 05 DEZ,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,TORQUÍMETRO 3/8”  5-50 NM ,,,,,,,,,,,50,Nm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,15/07/24,20/08/24,,12/08/24,,,45497,#VALOR!,DESCALIBRADO, 214021/24,CMASM,MSMI TORQ LOTE 01,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,TORQUÍMETRO 3/8” 2-10 N.M,,,,,,,,,,,10,Nm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,15/07/24,20/08/24,,12/08/24,,,45497,#VALOR!,DESCALIBRADO,214898/24,CMASM,MSMI TORQ LOTE 01,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,TORQUE METER (20-240 NMN),,,,,,,,,,,"0,24",Nm,,,,,,,,,,,,24,F-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,44075,#VALOR!,DESCALIBRADO,,CMASM,MSMSI TORQ LOTE 05 DEZ,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,TORQUE METER (5-60 NMN),,,,,,,,,,,"0,06",Nm,,,,,,,,,,,,24,F-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,44075,#VALOR!,DESCALIBRADO,,CMASM,MSMSI TORQ LOTE 05 DEZ,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,"TORQUÍMETRO 0,5 NM A 2,5 NM (A.402)",,,,,,,,,,,"2,5",Nm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,15/07/24,20/08/24,,12/08/24,,,46601,#VALOR!,DESCALIBRADO,217206/24,CMASM,MSMI LOTE 01,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,"TORQUÍMETRO 0,5 NM A 2,5 NM (A.402)",,,,,,,,,,,"2,5",Nm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,15/07/24,20/08/24,,12/08/24,,,45506,#VALOR!,DESCALIBRADO,296050/24,CMASM,MSMI LOTE 01,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,TORQUÍMETRO 2 NM A 10 NM (A.404),,,,,,,,,,,10,Nm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,15/07/24,20/08/24,,12/08/24,,,45506,#VALOR!,DESCALIBRADO,217217/24,CMASM,MSMI TORQ LOTE 01,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,TORQUÍMETRO 2 NM A 10 NM (A.404),,,,,,,,,,,10,Nm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,15/07/24,20/08/24,,12/08/24,,,45506,#VALOR!,DESCALIBRADO,217149/24,CMASM,MSMI TORQ LOTE 01,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,TORQUÍMETRO 2 NM A 10 NM (A.404),,,,,,,,,,,10,Nm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,15/07/24,20/08/24,,12/08/24,,,45506,#VALOR!,DESCALIBRADO,217185/24,CMASM,MSMI TORQ LOTE 01,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,TORQUÍMETRO 2 NM A 10 NM (A.404),,,,,,,,,,,10,Nm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,15/07/24,20/08/24,,24/03/25,,,45871,#VALOR!,DESCALIBRADO,296048/24,CMASM,MSMI LOTE 01,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,TORQUÍMETRO 10 NM A 50 NM (J.208-50),,,,,,,,,,,50,Nm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,,20/10/24,,24/03/25,,,45693,#VALOR!,DESCALIBRADO,C30687/25,CMASM,MSMSI TORQ LOTE 05 DEZ,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,TORQUÍMETRO 10 NM A 50 NM (J.208-50),,,,,,,,,,,50,Nm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,15/07/24,20/08/24,,12/08/24,,,45497,#VALOR!,DESCALIBRADO,213971/24,CMASM,MSMI TORQ LOTE 01,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,TORQUÍMETRO 10 NM A 50 NM (J.208-50),,,,,,,,,,,50,Nm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,15/07/24,20/08/24,,12/08/24,,,45497,#VALOR!,DESCALIBRADO,213979/24,CMASM,MSMI TORQ LOTE 01,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,TORQUÍMETRO 10 NM A 50 NM (J.208-50),,,,,,,,,,,50,Nm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,15/07/24,20/08/24,,12/08/24,,,45497,#VALOR!,DESCALIBRADO,213986/24,CMASM,MSMI TORQ LOTE 01,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,TORQUÍMETRO 5 NM A 25 NM (R.306-25D),,,,,,,,,,,25,Nm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,15/07/24,20/08/24,,12/08/24,,,45498,#VALOR!,DESCALIBRADO,217035/24,CMASM,MSMI TORQ LOTE 01,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,TORQUÍMETRO 5 NM A 25 NM (R.306-25D),,,,,,,,,,,25,Nm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VALOR!,DESCALIBRADO,,CMASM,MSMSI TORQ LOTE 05 DEZ,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,TORQUÍMETRO 5 NM A 25 NM (R.306-25D),,,,,,,,,,,25,Nm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,45693,#VALOR!,DESCALIBRADO,C30715/25,CMASM,MSMSI TORQ LOTE 05 DEZ,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,TORQUÍMETRO 5 NM A 25 NM (R.306-25D),,,,,,,,,,,25,Nm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,15/07/24,20/08/24,,12/08/24,,,45497,#VALOR!,DESCALIBRADO,213925/24,CMASM,MSMI TORQ LOTE 01,,100,,,EMPRESA MV
MEC,TORQUÍMETRO ,,"TORQUÍMETRO 0,5 NM A 2,5 NM (A.402)",,,,,,,,,,,"2,5",Nm,,,,,,,,,,,,12,F-21,,,,,,,,,,,,,,,,,,,,,,15/07/24,20/08/24,,12/08/24,,,45506,#VALOR!,DESCALIBRADO,217197/24,CMASM,MSMI TORQ LOTE 01,,100,,,EMPRESA MV
